NAME,SAEPOVRTALL_RATE,Location,Latitude,Longitude
Kiowa County,12.6,"38.376967,-102.713512",38.376967,-102.713512
Kit Carson County,16.2,"39.384451,-102.529803",39.384451,-102.529803
La Plata County,11.1,"37.212586,-107.763621",37.212586,-107.763621
Lake County,16.4,"39.194117,-106.299291",39.194117,-106.299291
Larimer County,13.8,"40.695557,-105.594339",40.695557,-105.594339
Las Animas County,19.5,"37.299491,-104.100133",37.299491,-104.100133
Lincoln County,17.7,"39.045755,-103.358729",39.045755,-103.358729
Logan County,18,"40.705618,-102.989615",40.705618,-102.989615
Mesa County,12.2,"38.958538,-108.617563",38.958538,-108.617563
Mineral County,11.2,"37.658368,-107.006703",37.658368,-107.006703
Moffat County,11.9,"40.613838,-108.237752",40.613838,-108.237752
Montezuma County,16.4,"37.325752,-108.617563",37.325752,-108.617563
Montrose County,16.6,"38.468304,-108.142867",38.468304,-108.142867
Morgan County,15.3,"40.298923,-103.728917",40.298923,-103.728917
Otero County,23.9,"37.939766,-103.636272",37.939766,-103.636272
Ouray County,9.8,"38.201613,-107.763621",38.201613,-107.763621
Park County,9.9,"39.089793,-105.594339",39.089793,-105.594339
Phillips County,12.4,"40.537133,-102.346387",40.537133,-102.346387
Pitkin County,7.5,"39.159101,-106.817838",39.159101,-106.817838
Prowers County,21,"37.843376,-102.254792",37.843376,-102.254792
Pueblo County,19,"38.252853,-104.47233",38.252853,-104.47233
Rio Blanco County,10.1,"39.98143,-108.237752",39.98143,-108.237752
Rio Grande County,18.5,"37.574951,-106.440587",37.574951,-106.440587
Routt County,8.7,"40.477162,-107.101193",40.477162,-107.101193
Saguache County,29.7,"38.001962,-106.346379",38.001962,-106.346379
San Juan County,18,"37.75737,-107.71625",37.75737,-107.71625
San Miguel County,11.1,"37.978124,-108.142867",37.978124,-108.142867
Sedgwick County,13.8,"40.856884,-102.346387",40.856884,-102.346387
Summit County,10.5,"39.591187,-106.064018",39.591187,-106.064018
Teller County,9.3,"38.861158,-105.172682",38.861158,-105.172682
Washington County,12.6,"40.063745,-102.989615",40.063745,-102.989615
Weld County,14.4,"40.392072,-104.715823",40.392072,-104.715823
Yuma County,13.6,"40.144823,-102.254792",40.144823,-102.254792
Fairfield County,9.4,"41.255965,-73.37087",41.255965,-73.37087
Hartford County,12.4,"41.792434,-72.80428",41.792434,-72.80428
Litchfield County,7.8,"41.786629,-73.276536",41.786629,-73.276536
Middlesex County,6.7,"41.469851,-72.473153",41.469851,-72.473153
New Haven County,12.9,"41.326691,-72.80428",41.326691,-72.80428
New London County,9,"41.518519,-72.046816",41.518519,-72.046816
Tolland County,8,"41.841899,-72.378468",41.841899,-72.378468
Windham County,10.6,"41.827562,-72.046816",41.827562,-72.046816
Kent County,14.9,"39.144061,-75.434473",39.144061,-75.434473
New Castle County,12,"39.539298,-75.667356",39.539298,-75.667356
Sussex County,12.4,"38.653084,-75.434473",38.653084,-75.434473
District of Columbia,19.1,"38.907192,-77.036871",38.907192,-77.036871
Alachua County,23.5,"29.657955,-82.301773",29.657955,-82.301773
Baker County,18.6,"30.393117,-82.301773",30.393117,-82.301773
Bay County,14.4,"30.180531,-85.684578",30.180531,-85.684578
Bradford County,23.1,"29.972382,-82.171363",29.972382,-82.171363
Brevard County,14.2,"28.263933,-80.721442",28.263933,-80.721442
Broward County,14.9,"26.190096,-80.365865",26.190096,-80.365865
Calhoun County,25.9,"30.34753,-85.189405",30.34753,-85.189405
Charlotte County,13.2,"26.894601,-81.909826",26.894601,-81.909826
Citrus County,17.3,"28.884884,-82.518584",28.884884,-82.518584
Clay County,10.9,"29.994356,-81.778702",29.994356,-81.778702
Collier County,16.2,"26.069985,-81.427898",26.069985,-81.427898
Columbia County,21.7,"30.18127,-82.605118",30.18127,-82.605118
DeSoto County,31,"27.214208,-81.778702",27.214208,-81.778702
Dixie County,25.2,"29.520723,-83.1649",29.520723,-83.1649
Duval County,17.7,"30.350051,-81.603506",30.350051,-81.603506
Escambia County,18.5,"30.638941,-87.34136",30.638941,-87.34136
Flagler County,14.7,"29.408607,-81.251883",29.408607,-81.251883
Franklin County,22.3,"29.78177,-84.856793",29.78177,-84.856793
Gadsden County,25.2,"30.5562947,-84.6479124",30.5562947,-84.6479124
Gilchrist County,19.5,"29.687113,-82.820974",29.687113,-82.820974
Glades County,22.2,"26.984415,-81.075466",26.984415,-81.075466
Gulf County,23.2,"29.800162,-85.354965",29.800162,-85.354965
Hamilton County,31.9,"30.475596,-82.950156",30.475596,-82.950156
